IS_FRAUDSTER,HAS_EMAIL,age,account_age_days,KYC_SCORE,FAILED_SIGN_IN_ATTEMPTS,phone_country_match,tx_count,CANCELLED,tx_completed,tx_declined,tx_failed,tx_pending,tx_recorded,tx_reverted,avg_amount,max_amount,total_amount,std_amount,pct_ATM,pct_BANK_TRANSFER,pct_CARD_PAYMENT,pct_P2P,pct_TOPUP,pct_chip,pct_cont,pct_mags,pct_manu,pct_mcon,pct_misc,unique_merchant_categories,unique_merchant_country,unique_currency,avg_tx_hour,night_tx_ratio,tx_velocity
False,1,47,359,3,0,1,6.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,10312.666666666666,37130.0,61876.0,15408.086145484343,0.16666666666666666,0.0,0.3333333333333333,0.0,0.5,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0,0.5,1.0,1.0,2.0,13.333333333333334,0.0,0.020338983050847456
False,1,36,511,3,0,1,11.0,0.0,9.0,0.0,1.0,0.0,0.0,1.0,3992.909090909091,29607.0,43922.0,8747.621944900746,0.0,0.0,0.45454545454545453,0.18181818181818182,0.36363636363636365,0.18181818181818182,0.2727272727272727,0.0,0.0,0.0,0.5454545454545454,3.0,2.0,1.0,12.909090909090908,0.0,0.022774327122153208
False,1,45,61,3,0,1,60.0,0.0,44.0,6.0,2.0,1.0,0.0,7.0,1905.4666666666667,34355.0,114328.0,5188.051691608543,0.0,0.0,0.5,0.38333333333333336,0.11666666666666667,0.15,0.03333333333333333,0.016666666666666666,0.3,0.0,0.5,1.0,8.0,1.0,15.383333333333333,0.016666666666666666,1.2244897959183674
False,1,32,59,3,0,1,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,680.0,1275.0,1360.0,841.4570696119915,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,17.0,0.0,2.0
False,1,29,355,3,0,1,121.0,0.0,102.0,8.0,2.0,0.0,0.0,9.0,132411.65289256198,4497500.0,16021810.0,594756.2576064348,0.0,0.05785123966942149,0.7272727272727273,0.049586776859504134,0.1652892561983471,0.18181818181818182,0.19834710743801653,0.09090909090909091,0.256198347107438,0.0,0.2727272727272727,16.0,3.0,2.0,13.041322314049587,0.2727272727272727,0.34472934472934474
False,1,39,212,3,0,1,11.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,10830.727272727272,42315.0,119138.0,14899.545698382277,0.0,0.2727272727272727,0.09090909090909091,0.0,0.6363636363636364,0.0,0.0,0.0,0.09090909090909091,0.0,0.9090909090909091,0.0,1.0,2.0,14.454545454545455,0.0,0.12222222222222222
False,1,26,894,3,0,1,8.0,0.0,3.0,0.0,1.0,0.0,0.0,4.0,517.0,1694.0,3619.0,686.8896078216159,0.0,0.0,0.625,0.0,0.375,0.0,0.0,0.0,0.625,0.0,0.375,1.0,2.0,2.0,16.75,0.0,0.1702127659574468
False,1,26,570,3,0,1,217.0,0.0,213.0,1.0,0.0,2.0,0.0,1.0,1276.9447004608294,17402.0,277097.0,3008.8844103880015,0.0,0.0,0.3087557603686636,0.6036866359447005,0.08755760368663594,0.004608294930875576,0.30414746543778803,0.0,0.0,0.0,0.6912442396313364,5.0,1.0,1.0,13.152073732718893,0.009216589861751152,0.3881932021466905
False,1,35,227,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,1,38,347,3,0,1,7.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,1193.5714285714287,4420.0,8355.0,1613.8990940310628,0.0,0.0,0.2857142857142857,0.0,0.7142857142857143,0.0,0.0,0.0,0.2857142857142857,0.0,0.7142857142857143,1.0,1.0,1.0,16.428571428571427,0.0,0.05982905982905983
